t,value
1620558028,117440512
1620558958,0
1620558988,167772160
1620559018,167772160
1620559048,167772160
1620559078,167772160
1620559108,167772160
1620559138,167772160
1620559168,167772160
1620559198,167772160
1620559228,167772160
1620559258,167772160
1620559288,167772160
1620559318,167772160
1620559348,167772160
1620559378,167772160
1620559408,167772160
1620559438,167772160
1620559468,167772160
1620559498,167772160
1620559528,167772160
1620559558,167772160
1620559588,167772160
1620559618,167772160
1620559648,167772160
1620559678,167772160
1620559708,167772160
1620559738,167772160
1620559768,167772160
1620559798,167772160
1620559828,167772160
1620559858,167772160
1620559888,167772160
1620559918,167772160
1620559948,167772160
1620559978,167772160
1620560008,167772160
1620560038,167772160
1620560068,167772160
1620560098,167772160
1620560128,167772160
1620560158,167772160
1620560188,167772160
1620560218,167772160
1620560248,167772160
1620560278,167772160
1620560308,167772160
1620560338,167772160
1620560368,167772160
1620560398,167772160
1620560428,167772160
1620560458,167772160
1620560488,167772160
1620560518,167772160
1620560548,167772160
1620560578,167772160
1620560608,167772160
1620560638,167772160
1620560668,167772160
1620560698,167772160
1620560728,167772160
1620560758,167772160
1620560788,167772160
1620560818,167772160
1620560848,167772160
1620560878,167772160
1620560908,167772160
1620560938,167772160
1620560968,167772160
1620560998,167772160
1620561028,167772160
1620561058,167772160
1620561088,167772160
1620561118,167772160
1620561148,167772160
1620561178,167772160
1620561208,167772160
1620561238,167772160
1620561268,167772160
1620561298,167772160
1620561328,167772160
1620561358,167772160
1620561388,167772160
1620561418,167772160
1620561448,167772160
1620561478,167772160
1620561508,167772160
1620561538,167772160
1620561568,167772160
1620561598,167772160
1620561628,167772160
1620561658,167772160
1620561688,167772160
1620561718,167772160
1620561748,167772160
1620561778,167772160
1620561808,167772160
1620561838,167772160
1620561868,167772160
1620561898,167772160
1620561928,167772160
1620561958,167772160
1620561988,167772160
1620562018,167772160
1620562048,167772160
1620562078,167772160
1620562108,167772160
1620562138,167772160
1620562168,167772160
1620562198,167772160
1620562228,167772160
1620562258,167772160
1620562288,167772160
1620562318,167772160
1620562348,167772160
1620562378,167772160
1620562408,167772160
1620562438,167772160
1620562468,167772160
1620562498,167772160
1620562528,167772160
1620562558,167772160
1620562588,167772160
1620562618,167772160
1620562648,167772160
1620562678,167772160
1620562708,167772160
1620562738,167772160
1620562768,167772160
1620562798,167772160
1620562828,167772160
1620562858,167772160
1620562888,167772160
1620562918,167772160
1620562948,167772160
1620562978,167772160
1620563008,167772160
1620563038,167772160
1620563068,167772160
1620563098,167772160
1620563128,167772160
1620563158,167772160
1620563188,167772160
1620563218,167772160
1620563248,167772160
1620563278,167772160
1620563308,167772160
1620563338,167772160
1620563368,167772160
1620563398,167772160
1620563428,167772160
1620563458,167772160
1620563488,167772160
1620563518,167772160
1620563548,167772160
1620563578,167772160
1620563608,167772160
1620563638,167772160
1620563668,167772160
1620563698,167772160
1620563728,167772160
1620563758,167772160
1620563788,167772160
1620563818,167772160
1620563848,167772160
1620563878,167772160
1620563908,167772160
1620563938,167772160
1620563968,167772160
1620563998,167772160
1620564028,167772160
1620564058,167772160
1620564088,167772160
1620564118,167772160
1620564148,167772160
1620564178,167772160
1620564208,167772160
1620564238,167772160
1620564268,167772160
1620564298,167772160
1620564328,167772160
1620564358,167772160
1620564388,167772160
1620564418,167772160
1620564448,167772160
1620564478,167772160
1620564508,167772160
1620564538,167772160
1620564568,167772160
1620564598,167772160
1620564628,167772160
1620564658,167772160
1620564688,167772160
1620564718,167772160
1620564748,167772160
1620564778,167772160
1620564808,167772160
1620564838,167772160
1620564868,167772160
1620564898,167772160
1620564928,167772160
1620564958,167772160
1620564988,167772160
1620565018,167772160
1620565048,167772160
1620565078,167772160
1620565108,167772160
1620565138,167772160
1620565168,167772160
1620565198,167772160
1620565228,167772160
1620565258,167772160
1620565288,167772160
1620565318,167772160
1620565348,167772160
1620565378,167772160
1620565408,167772160
1620565438,167772160
1620565468,167772160
1620565498,167772160
1620565528,167772160
1620565558,167772160
1620565588,167772160
1620565618,167772160
1620565648,167772160
1620565678,167772160
1620565708,167772160
1620565738,167772160
1620565768,167772160
1620565798,167772160
1620565828,167772160
1620565858,167772160
1620565888,167772160
1620565918,167772160
1620565948,167772160
1620565978,167772160
1620566008,167772160
1620566038,167772160
1620566068,167772160
1620566098,167772160
1620566128,167772160
1620566158,167772160
1620566188,167772160
1620566218,167772160
1620566248,167772160
1620566278,167772160
1620566308,167772160
1620566338,167772160
1620566368,167772160
1620566398,167772160
1620566428,167772160
1620566458,167772160
1620566488,167772160
1620566518,167772160
1620566548,167772160
1620566578,167772160
1620566608,167772160
1620566638,167772160
1620566668,167772160
1620566698,167772160
1620566728,167772160
1620566758,167772160
1620566788,167772160
1620566818,167772160
1620566848,167772160
1620566878,167772160
1620566908,167772160
1620566938,167772160
1620566968,167772160
1620566998,167772160
1620567028,167772160
1620567058,167772160
1620567088,167772160
1620567118,167772160
1620567148,167772160
1620567178,167772160
1620567208,167772160
1620567238,167772160
1620567268,167772160
1620567298,167772160
1620567328,167772160
1620567358,167772160
1620567388,167772160
1620567418,167772160
1620567448,167772160
1620567478,167772160
1620567508,167772160
1620567538,167772160
1620567568,167772160
1620567598,167772160
1620567628,167772160
1620567658,167772160
1620567688,167772160
1620567718,167772160
1620567748,167772160
1620567778,167772160
1620567808,167772160
1620567838,167772160
1620567868,167772160
1620567898,167772160
1620567928,167772160
1620567958,167772160
1620567988,167772160
1620568018,167772160
1620568048,167772160
1620568078,167772160
1620568108,167772160
1620568138,167772160
1620568168,167772160
1620568198,167772160
1620568228,167772160
1620568258,167772160
1620568288,167772160
1620568318,167772160
1620568348,167772160
1620568378,167772160
1620568408,167772160
1620568438,167772160
1620568468,167772160
1620568498,167772160
1620568528,167772160
1620568558,167772160
1620568588,167772160
1620568618,167772160
1620568648,167772160
1620568678,167772160
1620568708,167772160
1620568738,167772160
1620568768,167772160
1620568798,167772160
1620568828,167772160
1620568858,167772160
1620568888,167772160
1620568918,167772160
1620568948,167772160
1620568978,167772160
1620569008,167772160
1620569038,167772160
1620569068,167772160
1620569098,167772160
1620569128,167772160
1620569158,167772160
1620569188,167772160
1620569218,167772160
1620569248,167772160
1620569278,167772160
1620569308,167772160
1620569338,167772160
1620569368,167772160
1620569398,167772160
1620569428,167772160
1620569458,167772160
1620569488,167772160
1620569518,167772160
1620569548,167772160
1620569578,167772160
1620569608,167772160
1620569638,167772160
1620569668,167772160
1620569698,167772160
1620569728,167772160
1620569758,167772160
1620569788,167772160
1620569818,167772160
1620569848,167772160
1620569878,167772160
1620569908,167772160
1620569938,167772160
1620569968,167772160
1620569998,167772160
1620570028,167772160
1620570058,167772160
1620570088,167772160
1620570118,167772160
1620570148,167772160
1620570178,167772160
1620570208,167772160
1620570238,167772160
1620570268,167772160
1620570298,167772160
1620570328,167772160
1620570358,167772160
1620570388,167772160
1620570418,167772160
1620570448,167772160
1620570478,167772160
1620570508,167772160
1620570538,167772160
1620570568,167772160
1620570598,167772160
1620570628,167772160
1620570658,167772160
1620570688,167772160
1620570718,167772160
1620570748,167772160
1620570778,167772160
1620570808,167772160
1620570838,167772160
1620570868,167772160
1620570898,167772160
1620570928,167772160
1620570958,167772160
1620570988,167772160
1620571018,167772160
1620571048,167772160
1620571078,167772160
1620571108,167772160
1620571138,167772160
1620571168,167772160
1620571198,167772160
1620571228,167772160
1620571258,167772160
1620571288,167772160
1620571318,167772160
1620571348,167772160
1620571378,167772160
1620571408,167772160
1620571438,167772160
1620571468,167772160
1620571498,167772160
1620571528,167772160
1620571558,167772160
1620571588,167772160
