t,value
1620558028,117440512
1620558958,33554432
1620558988,167772160
1620559018,167772160
1620559048,167772160
1620559078,167772160
1620559108,167772160
1620559138,167772160
1620559168,167772160
1620559198,167772160
1620559228,167772160
1620559258,167772160
1620559288,167772160
1620559318,167772160
1620559348,167772160
1620559378,167772160
1620559408,167772160
1620559438,167772160
1620559468,167772160
1620559498,167772160
1620559528,167772160
1620559558,167772160
1620559588,167772160
1620559618,167772160
1620559648,167772160
1620559678,167772160
1620559708,167772160
1620559738,167772160
1620559768,167772160
1620559798,167772160
1620559828,167772160
1620559858,167772160
1620559888,167772160
1620560377,167772160
1620560407,167772160
1620560437,167772160
1620560467,167772160
1620560497,167772160
1620560527,167772160
1620560557,167772160
1620560587,167772160
1620560617,167772160
1620560647,167772160
1620560677,167772160
1620560707,167772160
1620560737,167772160
1620560767,167772160
1620560797,167772160
1620560827,167772160
1620560857,167772160
1620560887,167772160
1620560917,167772160
1620560947,167772160
1620560977,167772160
1620561007,167772160
1620561037,167772160
1620561067,167772160
1620561097,167772160
1620561127,167772160
1620561157,167772160
1620561187,167772160
1620561217,167772160
1620561247,167772160
1620561277,167772160
1620561307,167772160
1620561337,167772160
1620561367,167772160
1620561397,167772160
1620561427,167772160
1620561457,167772160
1620561487,167772160
1620561517,167772160
1620561547,167772160
1620561577,167772160
1620561607,167772160
1620561637,167772160
1620561667,167772160
1620561697,167772160
1620561727,167772160
1620561757,167772160
1620561787,167772160
1620561817,167772160
1620561847,167772160
1620561877,167772160
1620561907,167772160
1620561937,167772160
1620561967,167772160
1620561997,167772160
1620562027,167772160
1620562057,167772160
1620562087,167772160
1620562117,167772160
1620562147,167772160
1620562177,167772160
1620562207,167772160
1620562237,167772160
1620562267,167772160
1620562297,167772160
1620562327,167772160
1620562357,167772160
1620562387,167772160
1620562417,167772160
1620562447,167772160
1620562477,167772160
1620562507,167772160
1620562537,167772160
1620562567,167772160
1620562597,167772160
1620562627,167772160
1620562657,167772160
1620562687,167772160
1620562717,167772160
1620562747,167772160
1620562777,167772160
1620562807,167772160
1620562837,167772160
1620562867,167772160
1620562897,167772160
1620562927,167772160
1620562957,167772160
1620562987,167772160
1620563017,167772160
1620563047,167772160
1620563077,167772160
1620563107,167772160
1620563137,167772160
1620563167,167772160
1620563197,167772160
1620563227,167772160
1620563257,167772160
1620563287,167772160
1620563317,167772160
1620563347,167772160
1620563377,167772160
1620563407,167772160
1620563437,167772160
1620563467,167772160
1620563497,167772160
1620563527,167772160
1620563557,167772160
1620563587,167772160
1620563617,167772160
1620563647,167772160
1620563677,167772160
1620563707,167772160
1620563737,167772160
1620563767,167772160
1620563797,167772160
1620563827,167772160
1620563857,167772160
1620563887,167772160
1620563917,167772160
1620563947,167772160
1620563977,167772160
1620564007,167772160
1620564037,167772160
1620564067,167772160
1620564097,167772160
1620564127,167772160
1620564157,167772160
1620564187,167772160
1620564217,167772160
1620564247,167772160
1620564277,167772160
1620564307,167772160
1620564337,167772160
1620564367,167772160
1620564397,167772160
1620564427,167772160
1620564457,167772160
1620564487,167772160
1620564517,167772160
1620564547,167772160
1620564577,167772160
1620564607,167772160
1620564637,167772160
1620564667,167772160
1620564697,167772160
1620564727,167772160
1620564757,167772160
1620564787,167772160
1620564817,167772160
1620564847,167772160
1620564877,167772160
1620564907,167772160
1620564937,167772160
1620564967,167772160
1620564997,167772160
1620565027,167772160
1620565057,167772160
1620565087,167772160
1620565117,167772160
1620565147,167772160
1620565177,167772160
1620565207,167772160
1620565237,167772160
1620565267,167772160
1620565297,167772160
1620565327,167772160
1620565357,167772160
1620565387,167772160
1620565417,167772160
1620565447,167772160
1620565477,167772160
1620565507,167772160
1620565537,167772160
1620565567,167772160
1620565597,167772160
1620565627,167772160
1620565657,167772160
1620565687,167772160
1620565717,167772160
1620565747,167772160
1620565777,167772160
1620565807,167772160
1620565837,167772160
1620565867,167772160
1620565897,167772160
1620565927,167772160
1620565957,167772160
1620565987,167772160
1620566017,167772160
1620566047,167772160
1620566077,167772160
1620566107,167772160
1620566137,167772160
1620566167,167772160
1620566197,167772160
1620566227,167772160
1620566257,167772160
1620566287,167772160
1620566317,167772160
1620566347,167772160
1620566377,167772160
1620566407,167772160
1620566437,167772160
1620566467,167772160
1620566497,167772160
1620566527,167772160
1620566557,167772160
1620566587,167772160
1620566617,167772160
1620566647,167772160
1620566677,167772160
1620566707,167772160
1620566737,167772160
1620566767,167772160
1620566797,167772160
1620566827,167772160
1620566857,167772160
1620566887,167772160
1620566917,167772160
1620566947,167772160
1620566977,167772160
1620567007,167772160
1620567037,167772160
1620567067,167772160
1620567097,167772160
1620567127,167772160
1620567157,167772160
1620567187,167772160
1620567217,167772160
1620567247,167772160
1620567277,167772160
1620567307,167772160
1620567337,167772160
1620567367,167772160
1620567397,167772160
1620567427,167772160
1620567457,167772160
1620567487,167772160
1620567517,167772160
1620567547,167772160
1620567577,167772160
1620567607,167772160
1620567637,167772160
1620567667,167772160
1620567697,167772160
1620567727,167772160
1620567757,167772160
1620567787,167772160
1620567817,167772160
1620567847,167772160
1620567877,167772160
1620567907,167772160
1620567937,167772160
1620567967,167772160
1620567997,167772160
1620568027,167772160
1620568057,167772160
1620568087,167772160
1620568117,167772160
1620568147,167772160
1620568177,167772160
1620568207,167772160
1620568237,167772160
1620568267,167772160
1620568297,167772160
1620568327,167772160
1620568357,167772160
1620568387,167772160
1620568417,167772160
1620568447,167772160
1620568477,167772160
1620568507,167772160
1620568537,167772160
1620568567,167772160
1620568597,167772160
1620568627,167772160
1620568657,167772160
1620568687,167772160
1620568717,167772160
1620568747,167772160
1620568777,167772160
1620568807,167772160
1620568837,167772160
1620568867,167772160
1620568897,167772160
1620568927,167772160
1620568957,167772160
1620568987,167772160
1620569017,167772160
1620569047,167772160
1620569077,167772160
1620569107,167772160
1620569137,167772160
1620569167,167772160
1620569197,167772160
1620569227,167772160
1620569257,167772160
1620569287,167772160
1620569317,167772160
